Name,County,Address,Coordinates,Description,Verified_Access
LOG SPRING (JEFFERSON),Jefferson,"Jefferson County, Florida","30.34053329, -83.99300364",This spring is listed in FGS Bulleitn 66 and SRWMD WR-00-03.,Not Verified
LOG SPRING (MARION),Marion,"Marion County, Florida","29.21627778, -82.04813889",Natural spring in Florida,Not Verified
LOLLY SPRING,Wakulla,"Wakulla County, Florida","30.2491417, -84.2670892",This spring is listed in NWFWMD WRSR06-03.,Not Verified
LOST RIVER SPRING,Marion,"Marion County, Florida","29.21627778, -82.04819444",Natural spring in Florida,Not Verified
LOST SPRING,Taylor,"Taylor County, Florida","29.98479995, -83.75080002",Natural spring in Florida,Not Verified
LOST SPRINGS (CITRUS),Citrus,"Citrus County, Florida","28.93722222, -82.68027778",Natural spring in Florida,Not Verified
LOUISE SPRINGS,Suwannee,"Suwannee County, Florida","30.34649056, -82.83172083",Natural spring in Florida,Not Verified
LOWERY PARK SPRING,Hillsborough,"Hillsborough County, Florida","28.01488005, -82.46481316","Station name (800-227-A) corresponds to ""Lowry"" listed in FGS-Report of Investigation 25: Water resources of Hillsborough County, Florida",Not Verified
LUMBERCAMP SPRINGS,Gilchrist,"Gilchrist County, Florida","29.70658332, -82.93805556","Information on this spring can be found in FGS Bulletins 31R and 66, and SRWMD report WR99-02.",Not Verified
LURAVILLE SPRING,Suwannee,"Suwannee County, Florida","30.11955582, -83.16712476",Spring,Not Verified
Lanark Spring,FK,"FK County, Florida","29.8750055, -84.60055981","This spring is plotted on the ""known offshore springs in the Florida Big Bend Region"" map on page 27 of FGS Bulletin 66. Low location accuracy.",Not Verified
Lanark Sulfur Spring,FK,"FK County, Florida","29.86250549, -84.61000381","This spring is plotted on the ""known offshore springs in the Florida Big Bend Region"" map on page 27 of FGS Bulletin 66. Low location accuracy.",Not Verified
Lime Sink Estavelle,SW,"SW County, Florida","30.38899361, -83.16391365",Name chg to LIME SINK ESTAVELLE per SRWMD; This water feature by definition is an Estavelle where it can flow both ways.DJH; This is the start of the Lime Sink Spring Run aka Dry Run near start of Suwannee River State Park Property and end of the private,Not Verified
Lynn Spring,JF,"JF County, Florida","30.14339986, -83.97752597",This spring was reported by a private citizen.,Not Verified
MADISON BLUE SPRING,Madison,"Madison County, Florida","30.48043611, -83.24436389",Natural spring in Florida,State Park
MADISON BLUE SPRING,Madison,"Madison County, Florida","30.48046694, -83.24437139",Natural spring in Florida,State Park
MAGGIE SPRINGS,Jefferson,"Jefferson County, Florida","30.34007894, -83.98268901",This spring is listed in FGS Bulleitn 66 and SRWMD WR-00-03.,Not Verified
MAGNESIA SPRING,Alachua,"Alachua County, Florida","29.58277778, -82.15",Natural spring in Florida,Not Verified
MAGNOLIA CIRCLE SPRING,Citrus,"Citrus County, Florida","28.89400833, -82.59969722",Spring consists of single vent and discharge is high.djh 031521;,Not Verified
MAGNOLIA SPRING,Hernando,"Hernando County, Florida","28.43387056, -82.65248778",Natural spring in Florida,Not Verified
MANATEE MINERAL SPRING,Manatee,"Manatee County, Florida","27.49761329, -82.54917666",Spring     Spring head covered with concrete slab and channelized into storm drainage system.,Not Verified
MANATEE SPRING,Levy,"Levy County, Florida","29.48963431, -82.9767731","Information about this spring can be found in the FGS Buleltin 66, pg. 216",State Park
MARION BLUE SPRING,Marion,"Marion County, Florida","29.51416667, -81.85694444",Natural spring in Florida,County Park
MARK HORROR HOLE,Taylor,"Taylor County, Florida","29.95810273, -83.69010002",Natural spring in Florida,Not Verified
MARKEE MINOR SPRING #1,Lake,"Lake County, Florida","28.87119167, -81.45287778",Natural spring in Florida,Not Verified
MARKEE SPRING,Lake,"Lake County, Florida","28.87059789, -81.45273091",Spring,Not Verified
MASTODON BONE SPRING,Marion,"Marion County, Florida","29.21572222, -82.05041667",Natural spring in Florida,Not Verified
MATTAIR SPRINGS,Suwannee,"Suwannee County, Florida","30.37807, -82.89111917",Natural spring in Florida,Not Verified
MAUND SPRING,Jackson,"Jackson County, Florida","30.74630976, -85.21549996",Spring is listed in FGS B66 and NWFWMD WRSR 0401,Not Verified
MB SPRING,Taylor,"Taylor County, Florida","29.93579995, -83.70360003",Natural spring in Florida,Not Verified
MCBRIDE SLOUGH SPRING,Wakulla,"Wakulla County, Florida","30.2491417, -84.2670892",This spring is listed in NWFWMD WRSR06-03.,Not Verified
MCBRIDE SPRING #2,Wakulla,"Wakulla County, Florida","30.2399591, -84.2694858",This spring is listed in NWFWMD WRSR06-03.,Not Verified
MCBRIDE SPRING #3,Wakulla,"Wakulla County, Florida","30.2411516, -84.2683802",This spring is listed in NWFWMD WRSR06-03.,Not Verified
MCBRIDE SPRING #4,Wakulla,"Wakulla County, Florida","30.2433407, -84.2676758",This spring is listed in NWFWMD WRSR06-03.,Not Verified
MCCLAIN SPRING,Citrus,"Citrus County, Florida","28.79626944, -82.58719361",Natural spring in Florida,Not Verified
MCCRABB SPRING,Dixie,"Dixie County, Florida","29.68548848, -82.96020412",Information on this spring can be found in FGS Bulletins 31R and 66 as well as SRWMD report WR99-02,Not Verified
MCRAE SPRING #1,Jackson,"Jackson County, Florida","30.56933051, -85.17603336",Spring is listed in FGS B66 and NWFWMD WRSR0401,Not Verified
MCRAE SPRING #2,Jackson,"Jackson County, Florida","30.56933051, -85.17603336",Spring is listed in FGS B66 and NWFWMD WRSR0401,Not Verified
MCRAE SPRING #3,Jackson,"Jackson County, Florida","30.56967495, -85.17608058",Spring is listed in FGS B66 and NWFWMD WRSR0401,Not Verified
MCRAE SPRING #4,Jackson,"Jackson County, Florida","30.57014995, -85.17621113",Spring is listed in FGS B66 and NWFWMD WRSR0401,Not Verified
MCRAE SPRING #5,Jackson,"Jackson County, Florida","30.57014995, -85.17621113",Spring is listed in FGS B66 and NWFWMD WRSR0401,Not Verified
MCRAE SPRING RESURGENCE,Jackson,"Jackson County, Florida","30.56955551, -85.17376947",Spring is listed in FGS B66 and NWFWMD WRSR0401,Not Verified
MEARSON SPRING,Lafayette,"Lafayette County, Florida","30.04134333, -83.02502806",Natural spring in Florida,Not Verified
MESSANT SPRING,Lake,"Lake County, Florida","28.85583333, -81.49888889",Natural spring in Florida,Not Verified
MESSER SPRING,Hillsborough,"Hillsborough County, Florida","27.8944444, -82.29722225","Currently uable to conifrm exact location (Jan, 2023). Location plotted corresponds to lat//long in B31, 3qtr section of TRS reported, and roughly to location description in B31. Possibly located on Buckhorn Creek.",Not Verified
MIAMI SPRING,Seminole,"Seminole County, Florida","28.71016528, -81.44303083",Natural spring in Florida,Not Verified
MILL POND SPRING (JACKSON),Jackson,"Jackson County, Florida","30.70369995, -85.30750002",Spring is listed in FGS B66 and NWFWMD WRSR 0401,Not Verified
MILL POND SPRINGS (COLUMBIA),Columbia,"Columbia County, Florida","29.96638889, -82.76",Natural spring in Florida,Not Verified
MILLERS CREEK SPRING COMPLEX,Citrus,"Citrus County, Florida","28.90141667, -82.60346944",Complex has two vents at a large fracture; located at head of Millers Creek; discharge low,Not Verified
MILLERS FERRY SPRING,Washington,"Washington County, Florida","30.574382, -85.84048011",Spring referenced in FGS B66,Not Verified
MINNOW SPRING,Jefferson,"Jefferson County, Florida","30.33153425, -83.98659286",This spring is listed in FGS Bulleitn 66 and SRWMD WR-00-03.,Not Verified
MISSION SPRINGS,Columbia,"Columbia County, Florida","29.97621472, -82.75787694",Mission Springs is comprised of two separate spring vents;  Singing Springs and Roaring Springs are not aliases of this spring.,Not Verified
MOCCASIN SPRINGS,Lake,"Lake County, Florida","28.8522793, -81.44290504",Spring,Not Verified
MOONSHINER SPRING,Levy,"Levy County, Florida","29.302272, -82.599",Natural spring in Florida,Not Verified
MOORING COVE SPRINGS,Lake,"Lake County, Florida","28.75011703, -81.83367438",Spring,Not Verified
MORAY SPRINGS COMPLEX,Citrus,"Citrus County, Florida","28.89361944, -82.59488056",Spring complex has multiple vent clusters; in cove behind Peters Pier Marina; surrounded by sea-walls and boat docks near Aqua Vista Subdivision,Not Verified
MORGAN SPRING,Hamilton,"Hamilton County, Florida","30.42022221, -83.20736111",Spring,Not Verified
MORMAN BRANCH SPRING,Marion,"Marion County, Florida","29.19245364, -81.65774055",Spring     Sand boil with many seeps in the area.,Not Verified
MORRISON SPRING,Walton,"Walton County, Florida","30.65788356, -85.90393836",Natural spring in Florida,County Park
MOSQUITO SPRINGS,Lake,"Lake County, Florida","29.03648048, -81.43471962",Spring,Not Verified
MUD HOLE SPRING,Lee,"Lee County, Florida","26.26388884, -82.01750002",Submarine sinkhole depression which ejects water.  Offshore discharges geothermally warmed and disturbs turbid water from the sea floor as a muddy plume of turbid water,Not Verified
MUD HOLE SPRING,Taylor,"Taylor County, Florida","29.97239995, -83.74580002",Natural spring in Florida,Not Verified
MUD SPRING (HERNANDO),Hernando,"Hernando County, Florida","28.54638222, -82.62482056",Natural spring in Florida,Not Verified
MUD SPRING (PUTNAM),Putnam,"Putnam County, Florida","29.46099999, -81.6615",Spring               Film,Not Verified
MULLET SPRING,Washington,"Washington County, Florida","30.6687056, -85.65558917",Spring is listed in WRSR 2008-01 (Holmes Creek report),Not Verified
MUNROE SPRING,Leon,"Leon County, Florida","30.33305551, -84.17833336",Spring is listed as a monitoring station by USGS - SITE ID = Munroe Spring - 301959084104200,Not Verified
MYRTLES FISSURE SPRING,Gilchrist,"Gilchrist County, Florida","29.85794139, -82.73401889",Natural spring in Florida,Not Verified
MYSTERIOUS WATER SPRING,WK,"WK County, Florida","30.79033325, -85.14017502",General information about this spring can be found in NWFWMD WRSR 06-03,Not Verified
Marie,Wakulla,"Wakulla County, Florida","29.92329995, -83.65690002",Spring in creek bed.  Visible boil.  Private land. POI ID 29; Located on foot by: Karlee Fowler and Tom Greenhalgh,Not Verified
NAKED SPRING,Gilchrist,"Gilchrist County, Florida","29.82991842, -82.68127387",Spring,Not Verified
NASHUA SPRING,Putnam,"Putnam County, Florida","29.509099, -81.677",Natural spring in Florida,Not Verified
NATURAL BRIDGE CREEK RISE (WALTON),Walton,"Walton County, Florida","30.98674995, -86.20753302",Natural spring in Florida,Not Verified
NATURAL BRIDGE CREEK SPRING (WALTON),Walton,"Walton County, Florida","30.98816662, -86.20486114",Natural spring in Florida,Not Verified
NATURAL BRIDGE SPRING #1  (LEON),Leon,"Leon County, Florida","30.28518472, -84.14712278","This spring is listed in FGS Bulletins 31, 31R and ^^, as well as NWFWMD WRSR06-03.",Not Verified
NEEDLERUSH SPRING,Taylor,"Taylor County, Florida","29.97323519, -83.74541281",Natural spring in Florida,Not Verified
NEWPORT SPRING,Wakulla,"Wakulla County, Florida","30.21269472, -84.17848972",Natural spring in Florida,Not Verified
NICHOLS SPRING,Sumter,"Sumter County, Florida","28.83970833, -82.20258889",Natural spring in Florida,Not Verified
NO NAME COVE SPRING,Marion,"Marion County, Florida","29.21561111, -82.04630556",This station is located away from Silver Spring #7 and not same.,Not Verified
NO WADING SPRING,Marion,"Marion County, Florida","29.24406111, -81.64623972",Natural spring in Florida,Not Verified
NORTHSIDE SPRING #1,Wakulla,"Wakulla County, Florida","30.23752955, -84.28119994",Spring is listed in FGS Bulletin 66 and NWFWMD WRSR 06-03.,Not Verified
NORTHSIDE SPRING #2,Wakulla,"Wakulla County, Florida","30.23758426, -84.28124618",Spring is listed in FGS Bulletin 66 and NWFWMD WRSR 06-03.,Not Verified
NOVA SPRING,Seminole,"Seminole County, Florida","28.81750556, -81.41851389",Natural spring in Florida,Not Verified
NUTALL RISE,Taylor,"Taylor County, Florida","30.15047912, -83.96328447",Spring is listed in FGS B66,Not Verified
NW 9TH AVENUE SPRINGS COMPLEX,Citrus,"Citrus County, Florida","28.89803611, -82.60137778","NW 9TH AVENUE SPRINGS COMPLEX is SWFWMD correct name. Group consists of three small vents and another inside a swimming pool; discharge minimal; discharge is actually measured in mouth of nearby canal; See other spring station ""Pool Spring Hammett 27"" for",Not Verified
OASIS SPRING,Gilchrist,"Gilchrist County, Florida","29.92547417, -82.78040694",Natural spring in Florida,Not Verified
OCEAN HOLE SPRING,Wakulla,"Wakulla County, Florida","30.07333333, -84.12833333",Submarine spring discharging below sea level in coastal saltwater located 1 mile offshore and 30 miles South of Tallassee in the Gulf of Mexico.  Spring is about 30 ft deep and in shallow water 013121 djh;,Not Verified
OMAN SPRING,Taylor,"Taylor County, Florida","29.91253125, -83.65081718",Originally cataloged by SRWMD - Hornsby; discharge included in 2000 SRWMD Report,Not Verified
ORANGE CRUSH SPRING,Taylor,"Taylor County, Florida","29.97559995, -83.69820002",Natural spring in Florida,Not Verified
ORANGE GROVE,Suwannee,"Suwannee County, Florida","30.127259, -83.130763",Natural spring in Florida,Not Verified
ORANGE SPRING (MARION),Marion,"Marion County, Florida","29.51065056, -81.94407222",Natural spring in Florida,Not Verified
ORANGE UNNAMED SPRING,Orange,"Orange County, Florida","28.68063707, -81.5559515",Seep,Not Verified
OSCAR SPRING,Marion,"Marion County, Florida","29.21552778, -82.05077778",Natural spring in Florida,Not Verified
OTTER CREEK SPRING,Citrus,"Citrus County, Florida","28.88250833, -82.59448889",Natural spring in Florida,Not Verified
OTTER SPRING,Gilchrist,"Gilchrist County, Florida","29.64480222, -82.94275278","Information on this spring can be found in FGS Bulletin 31, 31R and 66 as well as SRWMD 99-02. Historical discharge varies from a 3rd to 2nd magnitude spring.",Not Verified
OWEN SPRING,Taylor,"Taylor County, Florida","29.96949995, -83.75140002",Natural spring in Florida,Not Verified
OWENS SPRING,Lafayette,"Lafayette County, Florida","30.0459425, -83.04113028",Natural spring in Florida,Not Verified
OYSTER BAR SPRING,Taylor,"Taylor County, Florida","29.95779995, -83.74700002",Natural spring in Florida,Not Verified
Otherworld Spring,LK,"LK County, Florida","29.048445, -81.46132",Spring was reported by private citizen Keith Addison. Spring has a visible sand boil and feed into a small stream that runs beneath Deerhaven Rd.,Not Verified
PALATLAKAHA SPRINGS,Lake,"Lake County, Florida","28.7471577, -81.8748321",Natural spring in Florida,Not Verified
PALM SPRING #1 (WASHINGTON),Washington,"Washington County, Florida","30.45855056, -85.53342412",Spring is featured in NWFWMD WRSR04-02 Econfina Creek Spring Inventory,Not Verified
PALM SPRING #2 (WASHINGTON),Washington,"Washington County, Florida","30.45845047, -85.53356912",Spring is featured in NWFWMD WRSR04-02 Econfina Creek Spring Inventory,Not Verified
PALM SPRINGS (LAKE),Lake,"Lake County, Florida","28.84377192, -81.45009513",Spring     Returned to natural state in 2003.,Not Verified
PALM SPRINGS (SEMINOLE),Seminole,"Seminole County, Florida","28.69111944, -81.39284167",Natural spring in Florida,Not Verified
PALMA CEIA SPRING,Hillsborough,"Hillsborough County, Florida","27.92187095, -82.48831529","Historically was a spring, now is a fountain in a park with no surface outflow.  There is a subterranean canal system that channels water under Bay Shore Blvd flowing out to Tampa Bay.",Not Verified
PALMETTO SPRING,Wakulla,"Wakulla County, Florida","30.22907, -84.27161","Spring is listed in NWFWMD WRSR 06-03, NWFWMD mentions two discharge points that flow approximately 400 feet into McBride Slough.",Not Verified
PANACEA MINERAL SPRING #1,Wakulla,"Wakulla County, Florida","30.03468114, -84.38989976",Spring enclosed in concrete.,Not Verified
PANACEA MINERAL SPRING #2,Wakulla,"Wakulla County, Florida","30.0347164, -84.39008169",Spring enclosed in concrete,Not Verified
PANACEA MINERAL SPRING #3,Wakulla,"Wakulla County, Florida","30.03503605, -84.39063595",Spring enclosed in concrete,Not Verified
PARADISE ISLES,Citrus,"Citrus County, Florida","28.89088333, -82.59500556",Spring complex has 12 vents or fractures most very small; associated with Paradise Isles subdivision canal system; discharge low djh 031521;,Not Verified
PARKER ISLAND SPRING COMPLEX,Citrus,"Citrus County, Florida","28.89069444, -82.592575",Complex has three vents all located on interior of island; bowl edges seen at low tide; discharge low to moderate,Not Verified
PARKER ISLAND SPRINGS NORTH COMPLEX,Citrus,"Citrus County, Florida","28.89026944, -82.59823333",Complex has 5 to 8 vents scattered over a moderately sized area; vents irregular in shape due to fractured limestone; discharge low to moderate,Not Verified
PATE SPRING,Calhoun,"Calhoun County, Florida","30.94648207, -85.72329898",Spring is listed in NWFWMD WRSR0502,Not Verified
PEACOCK SLOUGH (SUWANNEE),Suwannee,"Suwannee County, Florida","30.12322644, -83.13315354",Natural spring in Florida,Not Verified
PEACOCK SPRING (CALHOUN),Calhoun,"Calhoun County, Florida","30.53684717, -85.16632553",Spring is listed in NWFWMD WRSR 0401 and FGS B66 appendix B2,Not Verified
PEACOCK SPRINGS #3 (SUWANNEE),Suwannee,"Suwannee County, Florida","30.12166667, -83.1325",Natural spring in Florida,State Park
PEACOCK SPRINGS I (SUWANNEE),Suwannee,"Suwannee County, Florida","30.12322644, -83.13315354",Resurgent spring type SRWMD 070115; Peacock Springs has 3 vents.  This FGS location is the northwestern vent and headwaters compared to the other two vents.   There is a map of an extensive cave network - caveatlas.com djh 121415;,State Park
PEACOCK SPRINGS II (SUWANNEE),Suwannee,"Suwannee County, Florida","30.12229333, -83.13249361",Natural spring in Florida,State Park
PEACOCK SPRINGS III  (SUWANNEE),Suwannee,"Suwannee County, Florida","30.12166667, -83.1325",Natural spring in Florida,State Park
PEACOCK STATE PARK KARST WINDOW,Suwannee,"Suwannee County, Florida","30.13, -83.13527778",Natural spring in Florida,Not Verified
PEGASUS SPRING,Seminole,"Seminole County, Florida","28.69638889, -81.39",Natural spring in Florida,Not Verified
PEREZ SPRING,Hernando,"Hernando County, Florida","28.4888, -82.654083",Fresh Water Spring by coastal waters; Station Names are Canal Street Names,Not Verified
PERRY SPRING,Lafayette,"Lafayette County, Florida","30.09611111, -83.18805556",Natural spring in Florida,Not Verified
PETES PIER SPRING COMPLEX,Citrus,"Citrus County, Florida","28.89384722, -82.59877778",Complex has two northern vents and two southern vents along fracture line; discharge is moderate. Vent system believed to be part of larger fracture line at bay bottom with more vents djh 031521;,Not Verified
PETTIS SPRING,Madison,"Madison County, Florida","30.45699495, -83.71211053",Aucilla River,Not Verified
PHILLIPPI SPRING,Pinellas,"Pinellas County, Florida","28.01163505, -82.68040322","Bishop Creek (Tidal), Location approximated based on Rosenau et al., 1977 (SWFWMD 2001 WQ Report of Select Springs)",Not Verified
PICKARD SPRING,Gilchrist,"Gilchrist County, Florida","29.83053413, -82.66208714",Spring,Not Verified
PINEHURST SPRING,Sarasota,"Sarasota County, Florida","27.24027773, -82.50833336","Currently uable to conifrm exact location (Jan, 2023). Location plotted corresponds to lat//long in B31, 3qtr section of TRS reported, and roughly to location description in B31.",Not Verified
PINEY WOOD SPRING,Washington,"Washington County, Florida","30.65855134, -85.69063912",Spring listed in FGS B66 and NWFWMD WRSR 2008-01,Not Verified
PITTMAN SPRING (TAYLOR),Taylor,"Taylor County, Florida","29.91929523, -83.6822628",Natural spring in Florida,Not Verified
PITTS SPRING,Bay,"Bay County, Florida","30.43293495, -85.54629692",Spring is referenced in FGS's B66 and NWFWMD WRSR 04-02,Not Verified
PLANTATION POINT HOLE,Citrus,"Citrus County, Florida","28.88209167, -82.59683889",Vent off seawall northeast of Plantation Inn,Not Verified
PLEASANT RIDGE SPRING,Walton,"Walton County, Florida","30.69945995, -86.17482002",NWFWMD WRSR 05-02,Not Verified
POE SPRING (ALACHUA),Alachua,"Alachua County, Florida","29.82571583, -82.64897278",Natural spring in Florida,Not Verified
POE WOODS SPRING,Alachua,"Alachua County, Florida","29.82247997, -82.64816997",Natural spring in Florida,Not Verified
POECILLA SPRING,Taylor,"Taylor County, Florida","29.94649995, -83.71060003",Natural spring in Florida,Not Verified
PONCE DE LEON SPRING (HOLMES),Holmes,"Holmes County, Florida","30.72118048, -85.93070884",Natural spring in Florida,State Park
POOL SPRING,Citrus,"Citrus County, Florida","28.89803056, -82.60138056",Spring vent is inside swimming pool and walled off so it feeds the pool and three other vents outside swimming area that also discharge into pool; discharge from all vents to Kings Bay is through a small square orifice where minimal discharge is measured;,Not Verified
POSTER CHILD SPRING,Taylor,"Taylor County, Florida","29.97089995, -83.75630002",Natural spring in Florida,Not Verified
POT SPRING,Hamilton,"Hamilton County, Florida","30.4708025, -83.23439911",Spring type is a resurgence SRWMD 070115;,Not Verified
POTHOLE SPRING (DIXIE),Dixie,"Dixie County, Florida","29.8106815, -82.9358559",Information on this spring can be found in FGS Bulletin 66 and SRWMD report WR99-02.,Not Verified
POTTER CREEK SPRING (CITRUS),Citrus,"Citrus County, Florida","28.73160028, -82.596545",Natural spring in Florida,Not Verified
POTTER SPRING (WASHINGTON),Washington,"Washington County, Florida","30.52383265, -85.84402612",Washington County Potter Spring is referenced in NWFWMD WRSR0502,Not Verified
POTTSBURG CREEK SPRING,Duval,"Duval County, Florida","30.28999999, -81.5709",Spring               Film,Not Verified
PUMPHOUSE SPRING,Citrus,"Citrus County, Florida","28.79636917, -82.58829556",Natural spring in Florida,Not Verified
PUMPHOUSE SPRINGS,Citrus,"Citrus County, Florida","28.79649546, -82.58829341","Spring     Multiple vents in the area.  Magnitude estimated by D. DeWitt, SWFWMD",Not Verified
PURITY SPRING,Hillsborough,"Hillsborough County, Florida","28.02204822, -82.46218199",Natural spring in Florida,Not Verified
RABBIT HOLE VENT #1,Madison,"Madison County, Florida","30.41171481, -83.20630637",Natural spring in Florida,Not Verified
RABBIT HOLE VENT #2,Madison,"Madison County, Florida","30.41170484, -83.20619219",Natural spring in Florida,Not Verified
RACCOON ISLAND SPRING,Marion,"Marion County, Florida","29.21575, -82.04416667",Natural spring in Florida,Not Verified
RACCOON SPRING,Jackson,"Jackson County, Florida","30.70682494, -85.30413059",Spring is listed in FGS B66 and NWFWMD WRSR 0401,Not Verified
RAINBOW BRIDGE SEEP NORTH,Marion,"Marion County, Florida","29.10194222, -82.43777278",Natural spring in Florida,Not Verified
RAINBOW BRIDGE SEEP SOUTH,Marion,"Marion County, Florida","29.10191667, -82.43775",Natural spring in Florida,Not Verified
RAINBOW CAVE SPRING,Marion,"Marion County, Florida","29.09024576, -82.42645445",Spring     On River Bottom,Not Verified
RAINBOW EAST SEEP,Marion,"Marion County, Florida","29.10270228, -82.43730474",Seep,Not Verified
RAINBOW SEEP #1,Marion,"Marion County, Florida","29.10270924, -82.43751151",Seep,Not Verified
RAINBOW SEEP #1,Marion,"Marion County, Florida","29.10279, -82.43760194",Natural spring in Florida,Not Verified
RAINBOW SPRING #1,Marion,"Marion County, Florida","29.102476, -82.437466",Natural spring in Florida,Not Verified
RAINBOW SPRING #2,Marion,"Marion County, Florida","29.10231807, -82.43727344",Spring     On River Bottom,Not Verified
RAINBOW SPRING #3,Marion,"Marion County, Florida","29.10209588, -82.43721656",Spring     On River Bottom,Not Verified
RAINBOW SPRING #4,Marion,"Marion County, Florida","29.1019075, -82.43715917",Natural spring in Florida,Not Verified
RAINBOW SPRING #5,Marion,"Marion County, Florida","29.09850191, -82.43637143",Spring     On River Bottom,Not Verified
RAINBOW SPRING #6,Marion,"Marion County, Florida","29.09280833, -82.42856444",Natural spring in Florida,Not Verified
RAINBOW SPRING #7,Marion,"Marion County, Florida","29.09225718, -82.42676935",Spring     On River Bottom,Not Verified
RAINBOW SPRING #8,Marion,"Marion County, Florida","29.08461833, -82.42890972",Natural spring in Florida,Not Verified
RAINBOW SPRING NORTH,Marion,"Marion County, Florida","29.10269596, -82.43787863",Spring,Not Verified
RAINBOW SPRINGS,Marion,"Marion County, Florida","29.10247583, -82.43746639",Natural spring in Florida,State Park
RAINBOW UNNAMED SWAMP SPRING,Marion,"Marion County, Florida","29.09347218, -82.42897635",FGS Bulletin 66 describes this spring on page 574-575.   This has a 150 ft spring run that enters Rainbow River across from Rainbow Spring #6.,Not Verified
RAVINE SPRING,Suwannee,"Suwannee County, Florida","30.06404574, -83.06199667",Spring is estavelle.  SRWMD 070115;,Not Verified
RAY HILL SEEP SPRING,WL,"WL County, Florida","30.65948559, -85.95718425","Seep spring originally cataloged by NWFWMD, water quality data and additional information can be found in WRSR 05-02",Not Verified
RAY HOLE SPRING,Taylor,"Taylor County, Florida","29.74833333, -84.04166667",BULL 31,Not Verified
RECEPTION HALL SPRING,Marion,"Marion County, Florida","29.21472944, -82.05158528",Natural spring in Florida,Not Verified
RED MOCCASIN SPRING,Taylor,"Taylor County, Florida","29.94239995, -83.68580002",Natural spring in Florida,Not Verified
RED SNAPPER SINK,Flagler,"Flagler County, Florida","29.74055556, -80.74777778",Submarine sink that may be a point of seawater instrusion into the Floridan Aquifer.  Located in Atlantic Ocean coastal saltwater; In Flagler County; Previously reported Fresh Water but is no longer correct. DJH 013121;,Not Verified
RHODES SPRING,Leon,"Leon County, Florida","30.28383056, -84.15515472",This spring is listed in FGS Bulletin 66 and  NWFWMD WRSR 06-03.,Not Verified
RHODES SPRING,Leon,"Leon County, Florida","30.28646083, -84.15995528",This spring is listed in FGS Bulletin 66 and  NWFWMD WRSR 06-03.,Not Verified
RHODES SPRING #2A,Leon,"Leon County, Florida","30.28639444, -84.16003056",This spring is listed in FGS Bulletin 66 and  NWFWMD WRSR 06-03.,Not Verified
RHODES SPRING #2B,Leon,"Leon County, Florida","30.28667778, -84.1598225",This spring is listed in FGS Bulletin 66 and  NWFWMD WRSR 06-03.,Not Verified
RHODES SPRINGS #4,Leon,"Leon County, Florida","30.28355, -84.1573167",This spring is listed in FGS Bulletin 66 and  NWFWMD WRSR 06-03.,Not Verified
RITA MARIE SPRINGS #1,Hernando,"Hernando County, Florida","28.69055556, -82.59111111",Spring  Another spring boil is 40 ft north; privately owned,Not Verified
RITA MARIE SPRINGS #2,Hernando,"Hernando County, Florida","28.69014937, -82.58891929",Spring  600 ft south of Main Rita Maria Springs Another spring boil is 40 ft north; privately owned,Not Verified
RIVER BOIL (07D011)Â,Jackson,"Jackson County, Florida","30.70361106, -84.86166669","This spring is listed in USGS publication ""Physical and Hydrochemical Evidence of Lake Leakage near Jim Woodruff Lock and Dam and of Ground-Water Inflow to Lake Seminole, and an Assessment of Karst Features in and near the Lake, Southwestern Georgia and Northwestern Florida""; Scientific Investigations Report 2005-5084. USGS indicates that this spring discharges surface water for the majority but there is a small fraction of groundwater also.",Not Verified
RIVER PLANTATION SPRING #1,Wakulla,"Wakulla County, Florida","30.1961, -84.2637333",General information about this spring can be found in NWFWMD WRSR 06-03,Not Verified
RIVER PLANTATION SPRING #2,Wakulla,"Wakulla County, Florida","30.2123833, -84.2569666",General information about this spring can be found in NWFWMD WRSR 06-03,Not Verified
RIVER RISE SPRING #1,Leon,"Leon County, Florida","30.2774166, -84.1511166","River Rise Spring #1 is just upstream of St Marks River, this spring is listed in NWFWMD WRSR06-03.",Not Verified
RIVER RISE SPRING #2,Leon,"Leon County, Florida","30.2770333, -84.1482333","River Rise Spring #2 is just upstream of St Marks River Rise shown on NWFWMD Map, this spring is listed in NWFWMD WRSR06-03.",Not Verified
RIVER RISE SPRING #3,Leon,"Leon County, Florida","30.2770333, -84.1482333","River Rise Spring #3 is just upstream of St Marks River Rise shown on NWFWMD Map, this spring is listed in NWFWMD WRSR06-03.",Not Verified
RIVER RISE SPRING #4,Leon,"Leon County, Florida","30.2773333, -84.151","River Rise Spring #4 is just upstream of St Marks River Rise shown on NWFWMD Map, this spring is listed in NWFWMD WRSR06-03.",Not Verified
ROARING SPRING,Columbia,"Columbia County, Florida","29.97621466, -82.75787696",Spring          Low Impact,Not Verified
ROBIN SPRING,Hernando,"Hernando County, Florida","28.489817, -82.657883",Fresh Water Spring by coastal waters; Station Names are Canal Street Names,Not Verified
ROCK BLUFF SPRINGS,Gilchrist,"Gilchrist County, Florida","29.79908389, -82.91864056","Information on this spring can be found in FGS Bulletins 31, 31R and 66 and SRWMD report WR99-02.",Not Verified
ROCK SINK SPRING (DIXIE),Dixie,"Dixie County, Florida","29.7284505, -82.94929333","Information on this spring can be found in SRWMD WR99-02, spring is also listed in FGS Bulletin 66 Appendix B2.",Not Verified
